"key","mode","time_signature","Artist.Name","Class","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"1","Major","4","Bruno Mars","HipHop",-1.13624243156631,2.19435612279873,0.76381828357836,0.264086422167087,0.30138872902661,-0.993719675729135,0.688632989919722,-0.756878132517615
"3","Major","4","Boston","Rock",-0.983722806046106,-0.37839457576231,1.11695607136616,0.101028363506387,0.306508875469739,-0.0045879170137912,-0.154012340936925,-0.00613623045374162
"6","Major","4","The Raincoats","Indie/Alt",0.193294084049846,0.186769340491896,-1.42087595203476,1.63496169573622,0.750371165963403,0.548903963250808,-0.00563176664321823,-0.515469072538615
"10","Minor","4","Deno","HipHop",-0.487085533785648,1.86947605407457,1.04231619574966,-0.462291147681646,0.0988256891329647,-0.00734422725132708,0.691658373500018,0.141033113306891
"2","Major","4","Red Hot Chili Peppers","Rock",-2.00392685704424,-2.37833232252451,0.0864153859311109,1.3016844666769,-2.77641168741295,0.619840603427557,-0.857072292229261,0.171665788293468
"6","Major","4","The Stooges","Indie/Alt",-1.97603303635821,-1.71570666115587,0.673384101525698,0.882229415521939,-0.97307231649881,0.719553624335796,-0.702407316390411,0.665850891302578
"5","Minor","4","Solomon Burke","Blues",-0.186072404504706,0.818993302052747,0.235874991040292,-0.0371718435437898,-0.465442336644491,-0.906675082793859,-0.0978652732009905,-1.5711990958317
"5","Major","4","Randy Travis","Country",1.28404451882115,1.29631876519417,0.817601003167658,0.345004143317779,0.343578153838684,0.970926773917666,-0.240927883668597,1.07569051768571
"10","Major","4","Professional Murder Music","Metal",-0.873806800779849,-1.09006234071861,0.191967280219646,-0.111624351777917,0.440388435055151,-0.0319971926098161,-1.12025402791162,0.20321198903797
"1","Minor","4","Dudu Aharon","Pop",-1.28655114428394,0.524822573726429,-1.36635084686168,0.405013791019,1.63269278450231,-1.37065900556541,-0.159860259325018,0.37257274561571
"7","Minor","4","Mohammed Rafi","Bollywood",1.8558434117052,1.07378795408584,-1.82297554008939,1.11158914510782,1.96665277196479,0.0531153534364412,-1.21620888579116,0.722646885397866
"9","Minor","4","Arctic Monkeys","Rock",-1.60939363669808,-0.800521221311134,0.78681558811139,0.723163038175161,-0.450735295207443,0.473109501352091,0.0319087838330183,0.0895900271954534
"1","Minor","4","Eyal Golan","Pop",0.965636484064806,-0.137630623126021,0.222263008576962,0.560248427920998,-0.183804497815124,-0.249669882110237,-0.894900519233568,-0.67082160149091
"11","Minor","3","Harald Lassen, Bram de Looze","Instrumental",3.86677880789927,-1.10664354715829,-0.485699890770565,0.708619556432486,-0.312321242609509,-0.38300500751364,0.994673600870556,1.6888489680479
"2","Major","4","Buffalo Springfield","Rock",0.618469962275306,2.1776154900308,1.14966804596506,0.123404990608182,0.244588101467855,0.384531095081263,0.875401829768133,-0.249732708407523
"2","Major","4","Elmore James","Blues",0.188711156668218,0.374417316167251,-0.544515898535647,-0.389479549855764,1.72612117231573,0.22190518096643,0.0308152248329146,0.982633274332694
"5","Minor","4","Dudu Aharon","Pop",-1.6155011795021,0.853544109153235,-1.54058931184391,-0.00466064237992443,2.13329131060996,-0.744458261424322,-0.536168005053792,0.231672001310857
"1","Minor","4","Velvet Two Stripes","Rock",-0.755292900638665,0.0115949495056228,0.476776728436257,-0.133637580156606,0.661660046935524,-0.400196070071846,-1.14448006002853,1.03959918457882
"9","Minor","4","Eden Ben Zaken","Pop",1.0579577442114,-0.230562383643255,0.539294303584428,-0.660815227713517,0.732664587402959,0.299416042238059,-1.53406846403135,0.0522821800355167
"1","Major","4","DaBaby","HipHop",-0.865096828412709,1.49919938250206,0.567007734353876,-0.9276735010654,0.36033371650629,1.33271269605912,0.893526996323654,0.374937039016284
"6","Major","4","Mura Masa","Indie/Alt",0.42385770287025,-1.96047916965286,0.720353766153568,0.765929403489853,-0.927083470577017,-1.15430508232179,1.15440060715062,-0.466051852120389
"7","Major","4","Clairmont The Second","Alt_Music",0.209034640800072,1.46098414619018,-1.01465884178989,-0.0385948734683892,-2.65635894187024,-0.35306142705198,-0.698254340654023,-0.285690917274958
"7","Major","4","Krankhead","HipHop",0.0147251261715627,1.61252054519281,-0.871252191059222,0.973133688983582,-0.260243567771733,-1.39184986651448,-0.359802510637169,-0.680669186663245
"9","Major","4","The Stone Roses","Rock",-1.80644958974692,-0.147598259817063,-0.428130705164075,-0.826461299755807,1.11642890230737,0.343825418842025,0.225286199044266,-0.437065574125941
"8","Major","4","R3HAB","Pop",2.44603871983271,-0.211336841514662,0.583705210197705,0.60471405170343,-0.540674218261014,0.235544471905993,-0.327276614566755,-0.503074926610795
"10","Major","3","IndianRaga, Akshay Anantapadmanabhan, Madhu Iyer, Sri Poornima Krishna Emani","Acoustic/Folk",0.508426871528304,0.931011829572424,-1.50787900376229,1.01355495539524,0.393605794580643,0.994766691968137,-0.316687171807675,0.785567090209143
"11","Minor","4","MC Hammer","Pop",-0.148189968022881,2.46432141122811,0.913090935004208,-0.109190722746122,-0.482153881405159,-0.692964186558728,1.2596333604846,-1.51900043050121
"5","Major","4","duendita","Alt_Music",0.6496923502353,-1.84737054338251,-0.946550994061821,0.55499184389092,0.2461543475857,1.57383420209628,-0.0672590506722244,-0.900231133270931
"7","Major","4","Rainbow","Metal",-0.919636077535784,1.76331460775123,-0.5707575126535,0.36404851398841,1.06008578730612,1.06482661793249,1.4068517606302,-0.998085449747439
"6","Major","4","fijitrip","Indie/Alt",-0.543493250463887,0.428916439755093,-0.00897196816803641,-0.236226060189413,0.111550971190354,-0.542902161184586,-0.998371152313222,0.30101102629515
"10","Major","4","Machine Gun Kelly","Pop",-1.42347473054848,0.469324413001025,1.58867497884366,-0.389791949685034,0.0471117722545239,1.46512200381466,0.648622416253684,0.698425295030664
"5","Minor","4","ShittyCT","Indie/Alt",-1.45746736354742,-1.27121112494018,-1.0472302136348,1.29368441855786,0.065913708337395,-1.73128842713784,-1.52247123208298,0.497987556356208
"1","Minor","4","Tetrarch","Metal",-2.14926756076863,-1.74700362841553,0.0586433633333036,1.27126506566382,-1.82476075592395,0.355275395090762,-0.57183134983262,-0.291905679926428
"1","Major","4","Dreezy","HipHop",-0.528197364900337,0.89851753112348,-0.483808729520203,0.418530418397488,-1.34595242350425,-0.414723249043806,-0.305925355569415,-0.822197899975028
"8","Major","4","The Ayoub Sisters","Instrumental",5.65391378935628,-1.2697952540807,-0.962493092947609,-0.148928579115845,0.494726200808651,-0.46239323726318,0.433267697549695,1.39639488447168
"2","Major","4","Brandon Jack & The Artifacts","Alt_Music",-1.91499054928902,0.351772037521411,-0.8830965691599,1.9778747456372,0.520759004024201,-1.3805605143003,-0.14557098509459,0.254637627086701
"5","Major","4","Moon Guitar","Instrumental",4.50934985783128,-0.601050219914698,-0.291628755881663,0.0335449190423923,0.207982892296206,0.215119390592417,1.59500915734223,1.71130053590462
"4","Major","4","Ivri Lider","Pop",1.56382087079713,0.515635522906946,0.594004904722319,0.166474650478146,-0.198377450660594,0.0545962101167628,-0.443572291923459,-0.81131455629433
"7","Major","4","Vieux Farka Touré","Blues",1.06518282428531,-0.600200519770275,0.0602354302173921,-1.17185884830219,0.605613038659276,-2.36787021358213,1.81821746201736,-0.140382889804677
"1","Minor","4","Kvelertak","Metal",-0.70760103940128,-2.46230257046633,-0.0138721436453287,0.112265578210432,-1.39654559369659,-1.39548670492925,1.45341894561553,1.26972354540978
"7","Major","4","Better Than Ezra","Rock",-0.783268164046036,1.30867362559183,0.966969185226949,0.186410420882494,0.654772785391913,-0.0308054580479365,0.59127597978685,-0.017622420290207
